field,field_label,threshold,threshold_pct,lmax,frac_coeffs_retained,n_coeffs,l_ref
gravity,Gravity (EGM2008 geoid),0.15,15.0,8.07,0.000631,100,360
gravity,Gravity (EGM2008 geoid),0.1,10.0,12.14,0.001324,196,360
gravity,Gravity (EGM2008 geoid),0.05,5.0,37.53,0.011392,1521,360
gravity,Gravity (EGM2008 geoid),0.025,2.5,94.38,0.069808,9216,360
gravity,Gravity (EGM2008 geoid),0.01,1.0,191.15,0.283313,37249,360
magnetic,Magnetic (IGRF-13 $B_r$),0.15,15.0,2.0,0.046069,16,13
magnetic,Magnetic (IGRF-13 $B_r$),0.1,10.0,2.5,0.062597,16,13
magnetic,Magnetic (IGRF-13 $B_r$),0.05,5.0,3.43,0.100257,25,13
magnetic,Magnetic (IGRF-13 $B_r$),0.025,2.5,4.33,0.145203,36,13
magnetic,Magnetic (IGRF-13 $B_r$),0.01,1.0,5.86,0.240116,49,13
lithospheric,Magnetic crustal (NGDC-720 $B_r$),0.15,15.0,127.73,0.922907,16641,133
lithospheric,Magnetic crustal (NGDC-720 $B_r$),0.1,10.0,129.46,0.947918,17161,133
lithospheric,Magnetic crustal (NGDC-720 $B_r$),0.05,5.0,131.22,0.97361,17689,133
lithospheric,Magnetic crustal (NGDC-720 $B_r$),0.025,2.5,132.11,0.986716,17956,133
lithospheric,Magnetic crustal (NGDC-720 $B_r$),0.01,1.0,132.64,0.994665,17956,133
